,Sector,Stock Name,Buy,Sell
0,NIFTY 50,ADANIENT,17523,1623
1,NIFTY 50,DRREDDY,2410,123
2,NIFTY 50,SHRIRAMFIN,2126,87
3,NIFTY 50,COALINDIA,0,0
4,NIFTY 50,WIPRO,0,0
5,NIFTY 50,HEROMOTOCO,142,24
6,NIFTY 50,INDUSINDBK,723,192
7,NIFTY 50,HDFCBANK,2567,1023
8,NIFTY 50,BPCL,7836,1503
9,NIFTY 50,ASIANPAINT,511,74
10,NIFTY 50,BAJAJFINSV,299,21
11,NIFTY 50,ULTRACEMCO,176,55
12,NIFTY 50,ONGC,7175,3894
13,NIFTY 50,HDFCLIFE,392,809
14,NIFTY 50,BEL,28030,8981
15,NIFTY 50,BAJFINANCE,116,4
16,NIFTY 50,SBILIFE,142,7
17,NIFTY 50,NTPC,11064,5827
18,NIFTY 50,TRENT,198,290
19,NIFTY 50,EICHERMOT,247,34
20,NIFTY 50,BRITANNIA,49,17
21,NIFTY 50,LT,682,268
22,NIFTY 50,ICICIBANK,1255,463
23,NIFTY 50,MARUTI,33,76
24,NIFTY 50,TECHM,428,66
25,NIFTY 50,TITAN,1062,96
26,NIFTY 50,ITC,0,0
27,NIFTY 50,NESTLEIND,156,71
28,NIFTY 50,GRASIM,10,0
29,NIFTY 50,KOTAKBANK,174,94
30,NIFTY 50,POWERGRID,2477,357
31,NIFTY 50,JSWSTEEL,354,798
32,NIFTY 50,SUNPHARMA,644,58
33,NIFTY 50,SBIN,4685,1102
34,NIFTY 50,TATACONSUM,322,541
35,NIFTY 50,HINDALCO,969,34
36,NIFTY 50,HINDUNILVR,397,80
37,NIFTY 50,AXISBANK,2851,52
38,NIFTY 50,TATAMOTORS,8822,3415
39,NIFTY 50,RELIANCE,4958,1362
40,NIFTY 50,BAJAJ-AUTO,155,55
41,NIFTY 50,ADANIPORTS,0,0
42,NIFTY 50,TCS,260,129
43,NIFTY 50,HCLTECH,346,74
44,NIFTY 50,M&M,2332,567
45,NIFTY 50,TATASTEEL,18844,11264
46,NIFTY 50,CIPLA,302,7
47,NIFTY 50,BHARTIARTL,510,1318
48,NIFTY 50,INFY,795,3771
49,Nifty Bank,CANBK,56475,3010
50,Nifty Bank,PNB,19594,1350
51,Nifty Bank,BANKBARODA,3171,706
52,Nifty Bank,INDUSINDBK,723,192
53,Nifty Bank,HDFCBANK,2567,1023
54,Nifty Bank,AUBANK,521,15
55,Nifty Bank,IDFCFIRSTB,0,0
56,Nifty Bank,ICICIBANK,1255,463
57,Nifty Bank,KOTAKBANK,174,94
58,Nifty Bank,SBIN,4685,1102
59,Nifty Bank,FEDERALBNK,4077,2346
60,Nifty Bank,AXISBANK,2851,52
61,Emerge,AIMTRON,0,0
62,Emerge,NEELAM,0,0
63,Emerge,ASLIND,0,0
64,Emerge,MEGAFLEX,3000,0
65,Emerge,TECHERA,1600,0
66,Emerge,BRACEPORT,0,0
67,Emerge,JALAN,0,0
68,Emerge,COOLCAPS,0,0
69,Emerge,RBMINFRA,200,0
70,Emerge,PRITIKA,0,0
71,Emerge,SYSTANGO,0,0
72,Emerge,UHTL,2000,0
73,Emerge,ESFL,300,0
74,Emerge,PRATHAM,400,0
75,Emerge,ASPIRE,0,0
76,Emerge,GOYALSALT,0,0
77,Emerge,NAMOEWASTE,0,0
78,Emerge,SAHANA,125,0
79,Emerge,DANISH,0,0
80,Emerge,KODYTECH,50,0
81,Emerge,SUPREMEPWR,1000,0
82,Emerge,KOTYARK,0,0
83,Emerge,ORIANA,0,0
84,Emerge,CGRAPHICS,0,0
85,Emerge,ENVIRO,0,0
